Year,NTACode,NTAName,BusApps,TotalBikeLanesFt,TotalPop,FemalePct,MedianAge,BachDegreeOrHigherPct,UnempPCT,MeanHouseIncome,y18
2010,BX59,Westchester-Unionport,26,4786.375454,26870,53.6,33.2,17.1,6.4,63676,0
2018,BX10,Pelham Bay-Country Club-City Island,39,644.0662045,26877,52.3,43.4,30.2,3.4,83610,1
2018,MN21,Gramercy,49,15472.09198,26928,51.9,32.9,83.1,4,185239,1
2018,SI48,Arden Heights,13,440.7694208,26982,50.2,39.6,32.1,2.9,108687,1
2010,BK26,Gravesend,27,9837.701566,27105,54.1,45.4,22.1,4.4,61342,0
2018,BX22,North Riverdale-Fieldston-Riverdale,5,8692.768545,27551,52.7,44.2,58.1,4,126194,1
2010,BX40,Fordham South,42,6976.478104,27552,54.4,26.9,9.7,12.8,34669,0
2018,QN02,Springfield Gardens North,18,750.5400494,27649,57,39.8,22.9,3.2,71380,1
2018,QN43,Bellerose,27,14303.27801,27733,50.6,39.3,35.4,3,103468,1
2018,QN18,Rego Park,37,10510.02084,27739,54.3,44.8,50.5,2.6,82629,1
2010,BX27,Hunts Point,56,25142.75926,27761,50.5,27.8,6.6,9.5,35308,0
2018,BX33,Longwood,24,14048.7057,27864,51.7,31.2,14,7.5,42083,1
2018,MN17,Midtown-Midtown South,294,60649.41084,27875,50.6,36.3,80.1,2.9,194326,1
2018,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,24,56543.27875,27894,48.6,47.9,42.8,3.1,112818,1
2010,QN52,East Flushing,16,2659.348283,27913,53,41,33.5,6.7,81291,0
2010,QN57,Lindenwood-Howard Beach,17,29983.11225,27926,53.2,46,21.6,3.9,94442,0
2018,BX40,Fordham South,33,6976.478063,28164,52.5,28.8,8.4,9.3,36767,1
2018,QN72,Steinway,98,30072.89547,28235,49.5,36.3,46.9,3.2,96276,1
2018,BX59,Westchester-Unionport,30,11890.15794,28302,51.9,35.4,21.2,6.6,63935,1
2010,SI01,Annadale-Huguenot-Prince's Bay-Eltingville,22,38761.29599,28464,49.9,40.2,31.2,3.2,124611,0
2010,QN42,Oakland Gardens,6,17032.245,28484,50.6,39.9,46.8,3.6,101490,0
2010,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,16,56329.124,28531,52.2,44.7,37.4,2.9,100705,0
2010,BX22,North Riverdale-Fieldston-Riverdale,8,891.1731841,28640,52,39.3,59.2,3.2,121646,0
2018,BK95,Erasmus,31,7712.948493,28689,55.9,35.4,25.9,4.5,68024,1
